"","Acetatifactor_muris","Acutalibacter_muris","Adlercreutzia_equolifaciens","Akkermansia_muciniphila","Anaerotruncus_sp_G3_2012","Asaccharobacter_celatus","Bacteroides_thetaiotaomicron","Clostridium_cocleatum","Clostridium_sp_ASF502","Dorea_sp_5_2","Dubosiella_newyorkensis","Enterococcus_faecalis","Enterorhabdus_caecimuris","Firmicutes_bacterium_ASF500","Lachnospiraceae_bacterium_28_4","Lachnospiraceae_bacterium_3_2","Lachnospiraceae_bacterium_A2","Lachnospiraceae_bacterium_A4","Lachnospiraceae_bacterium_COE1","Lachnospiraceae_bacterium_M18_1","Lactobacillus_johnsonii","Lactococcus_lactis","Oscillibacter_sp_1_3","Parasutterella_excrementihominis","Proteobacteria_bacterium_CAG_139","Romboutsia_ilealis","Ruthenibacterium_lactatiformans","Staphylococcus_xylosus","Streptococcus_thermophilus","Terrisporobacter_othiniensis","1-palmitoleoylglycerol (16:1)*","laurate (12:0)","(14 or 15)-methylpalmitate (a17:0 or i17:0)","glyco-beta-muricholate**","5-dodecenoate (12:1n7)","myristoleate (14:1n5)","tauro-beta-muricholate","myristoylcarnitine (C14)","hexadecasphingosine (d16:1)*","X-23190","1-oleoylglycerol (18:1)","X-24658","palmitoylcarnitine (C16)","cholate","caprate (10:0)","N-stearoyl-phytosphingosine (t18:0/18:0)*","X-24359","cholesterol","taurodeoxycholate","1-heptadecenoylglycerol (17:1)*","1-myristoylglycerol (14:0)","myristate (14:0)","palmitoleate (16:1n7)","beta-muricholate","1-palmitoyl-GPC (16:0)"
"Acetatifactor_muris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7771566367435163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7389996443539405,0,-0.7169305609938166,0,0,0,0,0,0,0
"Acutalibacter_muris",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7114706011703055,0,0,0,0,0,0,0,0,0,0,0,-0.5920528525358898,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0,1,0,0,0.9973953811042218,0,0,0,0,0,0,0,0,0,0,-0.7320222937049728,0,0,0,0,0,0,0.7682075214853699,0,0,0,0,0,0,0,0,0,-0.6783590458213969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_muciniphila",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_sp_G3_2012",0,0,0,0,1,0,0,0,0,0,0,0,0.7626512909342434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9507900474106273,0,0,-0.9507900474106273,0,0,0,0,0,0,0,0,0.6775713172487583,0,0,0,0.6665447137780244,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0.9973953811042218,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.760377553253569,0,0,0.7161086674138477,0,0,0,0.7625359878508774,0,0,0,0,0,0,0,0,0,-0.6729185355654367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_thetaiotaomicron",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6474040045442754,0,-0.6742217401122319,0.620671509615147,0,0,0,0,0,0,0,-0.7162370074315304,-0.6741548888453192,-0.6001776788933219,-0.6165181470204876,0,0
"Clostridium_cocleatum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7324623158989406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5901825295730064,0,0,0,0,0,0,0,0,0,0.6552877560144378,0,0,0,0,0,0,0,0
"Clostridium_sp_ASF502",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7720019454527904,0,0,0,0,0,0,0.6797748316371653,0,0,-0.6188018834486095
"Dorea_sp_5_2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6107834624022481,0,0,0,0,0,0,0,0.5895033290043189,0,-0.613579591121203,0.7578362701154268,0,0,0,0,0,0,0,-0.5968819490053527,0,0,0,0,0
"Dubosiella_newyorkensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6285713482542885,0,0,0,0,0,0,-0.6350449770725123,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8453018614305965,0,0,0,0,0,0,0.7269743070441819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0.7626512909342434,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8875173218296962,0,0,-0.8875173218296963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7114121751748093,0,0,0,0,0,0.5898075279998478,0,0,0,0
"Firmicutes_bacterium_ASF500",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_28_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.9044614522486545,-0.8784974273440102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6112237446662242,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_3_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.7110877284099459,0,0,0.8504032084312372,0,0,0.8120230600266507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7411085475957845,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_A2",0,0,-0.7320222937049728,0,0,-0.760377553253569,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72755298429123
"Lachnospiraceae_bacterium_A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9044614522486545,0,0,1,0.8229725412867693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6177635373241421,0,0,0,0,0,0,0,0,0,0,-0.6742448711444898,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_COE1",0.7771566367435163,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8784974273440102,0,0,0.8229725412867693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_M18_1",0,0,0,0,0,0.7161086674138477,0,0,0,0,0,0,0,0,0,-0.7110877284099459,0,0,0,1,0,-0.7789065825648486,-0.7149876861874533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5995058523972637,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.715292917042204,-0.619012637371109
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0.8453018614305965,0,0,0,0,0,0,0,-0.7789065825648486,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_1_3",0,0,0,0,0,0,0,-0.7324623158989406,0,0,0,0,0,0,0,0.8504032084312372,0,0,0,-0.7149876861874533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8088692085576729,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0,0,0.7682075214853699,0,0,0.7625359878508774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6278710706658936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6045975748073372,0,0,0,0,0,0.7067790375855406,0
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8120230600266507,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6661282272978475,0,0,0,0,-0.7709855468688758,0,0,0,0,0,0,0,0.6356937683456748,0,-0.6736137760456239,0,0,0,0,0.6702950735432458,0,0,0
"Ruthenibacterium_lactatiformans",0,0,0,0,-0.9507900474106273,0,0,0,0,0,0,0,-0.8875173218296962,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_xylosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6390635292998069,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,0,0,0.7269743070441819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6488708193279702,0,0,0,0,0,0,0,0,0,0,0
"Terrisporobacter_othiniensis",0,0,0,0,-0.9507900474106273,0,0,0,0,0,0,0,-0.8875173218296963,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-palmitoleoylglycerol (16:1)*",0,0,0,0,0,0,0,0,0,-0.6107834624022481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.829291878437429,0,0,0,0,0,0,0,0,0.8048990596922659,0,0,0,0,0
"laurate (12:0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6661282272978475,0,0,0,0,0,1,0.8495380617980557,0,0,0,-0.7275135046284023,0,0,0,0,0,0,0,0,0,0,0,-0.8487221861798623,0,0,0.7760628740781564,0,0,0
"(14 or 15)-methylpalmitate (a17:0 or i17:0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8495380617980557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7439256451866837,0,0,0,0,-0.7444238778011395,0
"glyco-beta-muricholate**",0,0,-0.6783590458213969,0,0,-0.6729185355654367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-dodecenoate (12:1n7)",0,-0.7114706011703055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8664046003094555,0,0,0,0,0,0,0,-0.7480328349550113,0,0,0,0,0,0,0,0,0,0,-0.723639316354154
"myristoleate (14:1n5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8664046003094555,1,0,0,0,0,0.8373177910649339,0,0,-0.7098217381854517,0,0,0,0,0,0.7389703669403533,0,0,0.8657439959346627,0,-0.8167948926288818
"tauro-beta-muricholate",0,0,0,0,0,0,0,0.5901825295730064,0,0,0,0,0,0,0,0,0,0.6177635373241421,0,0,0,0,0,0,0,-0.7709855468688758,0,0,0,0,0,-0.7275135046284023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8174736852296931,0,0,0
"myristoylcarnitine (C14)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8016768435946863,0,0,0,0,0,0,0,0,0,0,0,0
"hexadecasphingosine (d16:1)*",0,0,0,0,0.6775713172487583,0,0.6474040045442754,0,0,0.5895033290043189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6278710706658936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X-23190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-oleoylglycerol (18:1)",0,0,0,0,0,0,-0.6742217401122319,0,0,-0.613579591121203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829291878437429,0,0,0,0,0.8373177910649339,0,0,0,0,1,-0.7235995976082966,0,0,0,0,0,0,0,0.9352125601239963,0,0,0.8783048246067122,0,0
"X-24658",0,0,0,0,0,0,0.620671509615147,0,0,0.7578362701154268,-0.6285713482542885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7235995976082966,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"palmitoylcarnitine (C16)",0,0,0,0,0.6665447137780244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6390635292998069,0,0,0,0,0,0,0,0,0,0.8016768435946863,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"cholate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6488708193279702,0,0,0,0,0,-0.7480328349550113,-0.7098217381854517,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.725860142253446,0,0,0
"caprate (10:0)",0,0,0,0,0,0,0,0,0.7720019454527904,0,0,0,0.7114121751748093,0,0,0,0,0,0,0,0,0,0,0,0,0.6356937683456748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8317990502609287,0,0,0
"N-stearoyl-phytosphingosine (t18:0/18:0)*",-0.7389996443539405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6112237446662242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8202915657280261,0,0,0,0,0,0,0
"X-24359",0,-0.5920528525358898,0,0,0,0,0,0.6552877560144378,0,0,0,0,0,0,0,-0.7411085475957845,0,0,0,0.5995058523972637,0,0,-0.8088692085576729,0,0,-0.6736137760456239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"cholesterol",-0.7169305609938166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6742448711444898,0,0,0,0,0,0,0.6045975748073372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8202915657280261,0,1,0,0,0,0,0,0,0
"taurodeoxycholate",0,0,0,0,0,0,0,0,0,0,-0.6350449770725123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8487221861798623,-0.7439256451866837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7977479221138477,-0.7121866194321516,0,0
"1-heptadecenoylglycerol (17:1)*",0,0,0,0,0,0,-0.7162370074315304,0,0,-0.5968819490053527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8048990596922659,0,0,0,0,0.7389703669403533,0,0,0,0,0.9352125601239963,0,0,0,0,0,0,0,0,1,0.7981327070724283,0,0.7796766347288163,0,0
"1-myristoylglycerol (14:0)",0,0,0,0,0,0,-0.6741548888453192,0,0,0,0,0,0.5898075279998478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7981327070724283,1,0,0,0,0
"myristate (14:0)",0,0,0,0,0,0,-0.6001776788933219,0,0.6797748316371653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6702950735432458,0,0,0,0,0,0.7760628740781564,0,0,0,0,-0.8174736852296931,0,0,0,0,0,0,-0.725860142253446,0.8317990502609287,0,0,0,-0.7977479221138477,0,0,1,0,0,0
"palmitoleate (16:1n7)",0,0,0,0,0,0,-0.6165181470204876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8657439959346627,0,0,0,0,0.8783048246067122,0,0,0,0,0,0,0,-0.7121866194321516,0.7796766347288163,0,0,1,0,-0.7824080700846914
"beta-muricholate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.715292917042204,0,0,0,0.7067790375855406,0,0,0,0,0,0,0,-0.7444238778011395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1-palmitoyl-GPC (16:0)",0,0,0,0,0,0,0,0,-0.6188018834486095,0,0,0,0,0,0,0,0.72755298429123,0,0,0,-0.619012637371109,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.723639316354154,-0.8167948926288818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7824080700846914,0,1
